file_name	p_val	fdr_p_val	hypothesis	selection
OG0006025	0.003	0.04908695652173913	True	Relaxation
OG0005497	0.0011	0.02587291666666667	True	Relaxation
OG0005945	0.0	0.0	True	Relaxation
OG0004728	0.0	0.0	True	Relaxation
OG0006374	0.0	0.0	True	Relaxation
OG0005970	0.0022	0.04139666666666667	True	Relaxation
OG0004621	0.0014	0.0309921568627451	True	Relaxation
OG0004808	0.0	0.0	True	Intensification
OG0004642	0.0002	0.007786206896551725	True	Relaxation
OG0005466	0.0023	0.04188225806451613	True	Relaxation
OG0005223	0.0	0.0	True	Relaxation
OG0005371	0.0003	0.010925806451612903	True	Intensification
OG0004702	0.0023	0.04188225806451613	True	Relaxation
OG0005197	0.0009	0.023093181818181818	True	Relaxation
OG0005853	0.0006	0.016935	True	Intensification
OG0006112	0.001	0.02508888888888889	True	Relaxation
OG0004759	0.0011	0.02587291666666667	True	Relaxation
OG0006089	0.002	0.03893103448275862	True	Intensification
OG0005556	0.0008	0.021004651162790697	True	Relaxation
OG0005859	0.0029	0.04886716417910447	True	Intensification
OG0004896	0.0	0.0	True	Relaxation
OG0005272	0.0019	0.03763333333333333	True	Intensification
OG0005980	0.0001	0.004908695652173913	True	Intensification
OG0005670	0.0004	0.01328235294117647	True	Intensification
OG0005446	0.0014	0.0309921568627451	True	Intensification
OG0005535	0.0024	0.04233749999999999	True	Relaxation
OG0005364	0.0	0.0	True	Relaxation
OG0004890	0.0007	0.019275609756097562	True	Relaxation
OG0006036	0.003	0.04908695652173913	True	Relaxation
OG0004944	0.0	0.0	True	Relaxation
OG0005711	0.0002	0.007786206896551725	True	Intensification
OG0005489	0.0013	0.029953061224489794	True	Relaxation
OG0004994	0.0004	0.01328235294117647	True	Relaxation
OG0004974	0.0002	0.007786206896551725	True	Relaxation
OG0005763	0.0	0.0	True	Relaxation
OG0005118	0.0001	0.004908695652173913	True	Intensification
OG0004979	0.0001	0.004908695652173913	True	Relaxation
OG0006393	0.0	0.0	True	Relaxation
OG0005445	0.0017	0.03690961538461538	True	Relaxation
OG0005818	0.0025	0.043423076923076925	True	Relaxation
OG0006208	0.0002	0.007786206896551725	True	Relaxation
OG0005602	0.0008	0.021004651162790697	True	Intensification
OG0004953	0.0	0.0	True	Intensification
OG0005200	0.0019	0.03763333333333333	True	Relaxation
OG0005988	0.0006	0.016935	True	Relaxation
OG0005799	0.0019	0.03763333333333333	True	Intensification
OG0005974	0.0	0.0	True	Intensification
OG0006146	0.0	0.0	True	Relaxation
OG0005263	0.0021	0.04018474576271186	True	Relaxation
OG0005055	0.0018	0.03763333333333333	True	Relaxation
OG0006395	0.0001	0.004908695652173913	True	Relaxation
OG0005443	0.0	0.0	True	Intensification
OG0004646	0.0006	0.016935	True	Relaxation
OG0005256	0.0	0.0	True	Intensification
OG0006313	0.0	0.0	True	Relaxation
OG0004636	0.0024	0.04233749999999999	True	Intensification
OG0006081	0.0026	0.04447575757575757	True	Relaxation
OG0004806	0.0004	0.01328235294117647	True	Intensification
OG0005480	0.0006	0.016935	True	Relaxation
OG0005213	0.0005	0.01612857142857143	True	Relaxation
OG0006070	0.0011	0.02587291666666667	True	Relaxation
OG0004844	0.0018	0.03763333333333333	True	Intensification
OG0004781	0.0002	0.007786206896551725	True	Relaxation
OG0005347	0.0002	0.007786206896551725	True	Relaxation
OG0005617	0.0	0.0	True	Intensification
OG0004605	0.0006	0.016935	True	Relaxation
OG0005397	0.0	0.0	True	Relaxation
OG0005596	0.0001	0.004908695652173913	True	Intensification
OG0005707	0.0003	0.010925806451612903	True	Relaxation
